propertyId,tenantInstitutionId,estimated_sales,rental_area
91318,4189101,1600785.0,3300.0
71839,4067105,4807705.0,10200.0
119399,4070006,2544941.0,6000.0
9619,4173490,294393.0,600.0
9619,4112718,2360462.0,3300.0
122450,4022715,2270607.0,1500.0
9759,4004104,3574178.0,5400.0
10522,5075861,1607784.0,1800.0
94388,4019921,239652.0,205.0
94388,4021245,1300530.0,205.0
69788,4193280,2456555.0,4500.0
35725,4068469,7766000000.0,4728300.0
92930,4220664,2371694.0,3400.0
92930,4053645,566007000.0,9500.0
52167,4112718,1814239.0,2700.0
52167,4200497,12229238.0,11400.0
52167,4120142,6725632.0,7600.0
34878,5224107,9082429.0,6000.0
70013,4226850,1729468.0,2280.0
10553,4069462,3752620.0,4500.0
10523,4095949,4720792.0,8400.0
96290,4109201,1286815.0,1200.0
52761,4200517,1131225.0,2400.0
75229,1024418,4151292.0,1520.0
10551,4200591,,
52762,4126080,37526202.0,45000.0
117955,4068813,6463634.0,10500.0
125530,4070608,454178.0,600.0
99478,5012338,183657.0,600.0
98081,4067081,2353250.0,4800.0
126347,4673776,1168256.0,6900.0
71133,5066507,11354456.0,15000.0
71133,4068813,6034818.0,10800.0
126641,4004302,3588259.0,6900.0
126469,4004302,8735848.0,15000.0
126471,4004302,3849569.0,6000.0
126486,4004302,8735848.0,15000.0
126489,4004302,7338112.0,12600.0
126494,4004302,8561131.0,14700.0
86757,5066507,21014673.0,25200.0
71318,4022715,14986007.0,9900.0
69792,4067403,322800.0,900.0
30267,4004104,1985654.0,3000.0
103774,4159346,45678397.0,16800.0
81180,4022715,6621884.0,4800.0
128864,4057779,11270275.0,12300.0
55435,4067079,1391257000.0,777000.0
25474,4149049,2755654000.0,891750.0
93287,4206433,20229153.0,20000.0
113177,4001588,13509433.0,16200.0
52167,4206537,20811436.0,10000.0
10519,4277754,3493601.0,5100.0
5190,4391554,230015.0,600.0
72814,4067105,4768949.0,8400.0
72814,4112718,510959.0,900.0
95431,5041476,,
61045,3005566,753029.0,1260.0
71206,4067290,2932481.0,6600.0
12191,4193280,541257.0,900.0
10501,4070608,4802355.0,9900.0
80509,4069240,181598.0,1000.0
78716,4071244,1422189.0,6900.0
72298,4087696,42107378.0,93600.0
129240,4058050,17736449.0,24300.0
141105,4220741,42863361.0,48300.0
61317,4068334,908356.0,1200.0
141108,4044840,53373160.0,44650.0
141111,4220748,3354524.0,210.0
98083,4209981,1030374.0,2100.0
98083,5004173,3206398.0,6000.0
78385,4068813,6648309.0,10800.0
32938,4068813,6832985.0,11100.0
34878,4151642,15666184.0,4400.0
88679,4071073,5202002.0,6900.0
88679,4095949,5200701.0,8400.0
10540,4071073,1583218.0,2100.0
10543,4069981,4523480.0,6000.0
10520,4200090,1236686.0,6000.0
10548,4911259,2251572.0,2700.0
